text,category,department,category_code,org_code,urgency,urgency_score
"repeatedly following up on refund, no action taken senior citizen with no other support",Income Tax,Income Tax,4414,CBODT,Medium,31
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
"loan emi wrongly deducted twice, bank not responding please help immediately",Banking,Banking,251,DEABD,Low,21
request for status of my police clearance certificate i have complained repeatedly and it is still unresolved,Home Affairs,Home Affairs,4742,MINHA,Low,17
"fraud transaction on my account, money stolen, please help urgently please help immediately",Banking,Banking,251,DEABD,High,50
"fraud transaction on my account, money stolen, please help urgently",Banking,Banking,251,DEABD,Medium,42
"sewage overflow on the road for 4 days, health hazard my elderly parent is suffering",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,27
"no water supply in our locality for 5 days, children falling sick i have complained repeatedly and it is still unresolved",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,44
anganwadi not providing nutrition to children for 13 days,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,28
"money order not delivered to my elderly mother, she is waiting senior citizen with no other support",Posts,Posts,61,DPOST,Medium,31
no network coverage in my area for 18 days despite repeated complaints,Telecommunications,Telecommunications,1,DOTEL,Low,15
"harassment at workplace, no action taken despite complaints",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,29
"my father's pension has been stopped since 3 months, he is a senior citizen",Pension,Pension,6281,DEAPR,High,54
request for information about property tax payment,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,7
"my father's pension has been stopped since 2 months, he is a senior citizen",Pension,Pension,6281,DEAPR,High,57
request for information about child care schemes no response despite repeated complaints,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,25
request for information about child care schemes,Women and Child Development,Women and Child Development,5410,DOWCD,Low,18
"street lights not working on the highway, danger at night",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,20
passport verification pending with police for 2 months there is a medical emergency,Home Affairs,Home Affairs,4742,MINHA,Medium,36
"ambulance did not arrive on time, elderly patient in danger",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,41
"money order not delivered to my elderly mother, she is waiting please help immediately",Posts,Posts,61,DPOST,Medium,32
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
rural road construction incomplete for 9 months there is a medical emergency,Rural Development,Rural Development,4976,DORLD,Medium,32
"medicines out of stock at government hospital, patient suffering senior citizen with no other support",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,37
"call drops happening continuously, unable to make emergency calls my elderly parent is suffering",Telecommunications,Telecommunications,1,DOTEL,Medium,34
"pension not credited for 3 months, elderly and no other income",Pension,Pension,6281,DEAPR,Medium,31
"driving licence renewal pending for 2 months, no response this is urgent",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,34
"medicines out of stock at government hospital, patient suffering i have complained repeatedly and it is still unresolved",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,45
housing scheme allotment pending for 9 months there is a medical emergency,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,36
my monthly income scheme interest not credited since 10 months i have complained repeatedly and it is still unresolved,Posts,Posts,61,DPOST,Medium,35
scholarship amount not received by my child for 6 months no response despite repeated complaints,School Education,School Education,398,DOSEL,High,60
"ppo number not updated, pension pending, repeatedly following up situation is unsafe and dangerous",Pension,Pension,6281,DEAPR,Medium,32
"domestic violence emergency, my life is in danger, immediate protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,35
request for information about filing a consumer complaint please help immediately,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,10
my monthly income scheme interest not credited since 10 months there is a medical emergency,Posts,Posts,61,DPOST,Medium,32
request for information about filing revised return no response despite repeated complaints,Income Tax,Income Tax,4414,CBODT,Low,14
"illegal construction next door, complained repeatedly no action situation is unsafe and dangerous",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,51
request for information about the vaccination schedule,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Low,2
"ppo number not updated, pension pending, repeatedly following up",Pension,Pension,6281,DEAPR,Low,12
"fraud transaction on my account, money stolen, please help urgently my elderly parent is suffering",Banking,Banking,251,DEABD,High,58
housing scheme allotment pending for 10 months this is urgent,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,27
"job card application pending, repeatedly visiting the office no response despite repeated complaints",Rural Development,Rural Development,4976,DORLD,Medium,25
"money order not delivered to my elderly mother, she is waiting no response despite repeated complaints",Posts,Posts,61,DPOST,Medium,31
request for information about filing a consumer complaint,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,7
request for information about child care schemes,Women and Child Development,Women and Child Development,5410,DOWCD,Low,18
my registered parcel has been stuck in transit for 14 days my elderly parent is suffering,Posts,Posts,61,DPOST,Medium,36
"driving licence renewal pending for 6 months, no response no response despite repeated complaints",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,34
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
"threat to my family, urgent protection needed my elderly parent is suffering",Home Affairs,Home Affairs,4742,MINHA,High,53
"teacher shortage in the school, no classes happening",School Education,School Education,398,DOSEL,Low,8
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
mid day meal not provided for 2 days at the government school,School Education,School Education,398,DOSEL,Low,11
"medicines out of stock at government hospital, patient suffering senior citizen with no other support",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,32
"large potholes on the highway causing accidents, unsafe for months no response despite repeated complaints",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,23
"call drops happening continuously, unable to make emergency calls",Telecommunications,Telecommunications,1,DOTEL,Low,18
mid day meal not provided for 3 days at the government school,School Education,School Education,398,DOSEL,Low,8
"large potholes on the highway causing accidents, unsafe for months no response despite repeated complaints",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,23
my monthly income scheme interest not credited since 6 months there is a medical emergency,Posts,Posts,61,DPOST,Medium,37
housing scheme allotment pending for 7 months this is urgent,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,32
"toll charged despite pass, request refund my elderly parent is suffering",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,18
"hospital demanded bribe to admit my critically ill child, this is corruption and unsafe",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,68
housing scheme allotment pending for 9 months no response despite repeated complaints,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,26
request for update on my esi claim,Labour and Employment,Labour and Employment,2173,MOLBR,Low,5
"speed post delivery delayed by 2 days, urgent documents inside there is a medical emergency",Posts,Posts,61,DPOST,Medium,37
